IP地址,端口,TLS,数据中心,地区,城市,ASN,网络延迟
2607:f130:0:180::cd65:1d52,16341,true,LAX,North America,Los Angeles,35916,220 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16878,true,LAX,North America,Los Angeles,35916,220 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16253,true,LAX,North America,Los Angeles,35916,220 ms
74.48.100.162,42660,true,LAX,North America,Los Angeles,35916,220 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16102,true,LAX,North America,Los Angeles,35916,220 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16988,true,LAX,North America,Los Angeles,35916,220 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16614,true,LAX,North America,Los Angeles,35916,221 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16643,true,LAX,North America,Los Angeles,35916,221 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16013,true,LAX,North America,Los Angeles,35916,221 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16058,true,LAX,North America,Los Angeles,35916,221 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16725,true,LAX,North America,Los Angeles,35916,221 ms
2607:f130:0:190:216:3eff:fe67:9a12,995,true,LAX,North America,Los Angeles,35916,221 ms
148.135.112.130,8443,true,LAX,North America,Los Angeles,35916,221 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16067,true,LAX,North America,Los Angeles,35916,222 ms
74.48.89.211,443,true,LAX,North America,Los Angeles,35916,222 ms
2607:f130:0:190::6b09:2bae,993,true,LAX,North America,Los Angeles,35916,222 ms
2607:f130:0:193:216:3cff:fede:f1df,443,true,LAX,North America,Los Angeles,35916,222 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16388,true,LAX,North America,Los Angeles,35916,222 ms
74.48.12.171,20202,true,LAX,North America,Los Angeles,35916,222 ms
148.135.91.178,34213,true,LAX,North America,Los Angeles,35916,223 ms
2607:f130:0:190:216:3eff:fe67:9a12,8443,true,LAX,North America,Los Angeles,35916,223 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16451,true,LAX,North America,Los Angeles,35916,223 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16889,true,LAX,North America,Los Angeles,35916,223 ms
2607:f130:0:18e:216:3eff:fe3d:5378,443,true,LAX,North America,Los Angeles,35916,223 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16461,true,LAX,North America,Los Angeles,35916,224 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16304,true,LAX,North America,Los Angeles,35916,224 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16881,true,LAX,North America,Los Angeles,35916,225 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16381,true,LAX,North America,Los Angeles,35916,225 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16242,true,LAX,North America,Los Angeles,35916,225 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16419,true,LAX,North America,Los Angeles,35916,225 ms
74.48.185.22,26443,true,LAX,North America,Los Angeles,35916,226 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16404,true,LAX,North America,Los Angeles,35916,226 ms
74.48.179.34,8443,true,LAX,North America,Los Angeles,35916,226 ms
2607:f130:0:103:ff:ff:34c2:8c31,443,true,LAX,North America,Los Angeles,35916,226 ms
142.171.199.114,2053,true,LAX,North America,Los Angeles,35916,226 ms
148.135.94.110,2053,true,LAX,North America,Los Angeles,35916,226 ms
2607:f130:0:105:216:3cff:fe4b:29a6,443,true,LAX,North America,Los Angeles,35916,226 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16793,true,LAX,North America,Los Angeles,35916,226 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16375,true,LAX,North America,Los Angeles,35916,227 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16915,true,LAX,North America,Los Angeles,35916,227 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16935,true,LAX,North America,Los Angeles,35916,227 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16368,true,LAX,North America,Los Angeles,35916,227 ms
148.135.66.205,443,true,LAX,North America,Los Angeles,35916,228 ms
74.48.44.142,443,true,LAX,North America,Los Angeles,35916,228 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16296,true,LAX,North America,Los Angeles,35916,228 ms
148.135.34.58,50707,true,LAX,North America,Los Angeles,35916,229 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16440,true,LAX,North America,Los Angeles,35916,230 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16686,true,LAX,North America,Los Angeles,35916,230 ms
